episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description
329,15,9,"""Two-Man Team""Transcription: ""Tsū Man Seru"" (Japanese: ツーマンセル)",Kazunori Mizuno,Shin Yoshida,2013-09-05,2016-01-21,8,758,"Naruto uses up the last of his chakra trying to free the Tailed Beasts from Madara's control. When all seems lost, the Nine Tails finally acknowledges Naruto as its jinchuriki and offers its help."
330,15,10,"""The Promise of Victory""Transcription: ""Shōri e no Yogen"" (Japanese: 勝利への予言)",Chikao Tominaga,Masahiro Hikokubo,2013-09-12,2016-01-28,7.7,289,"The tide of battle is shifting in the Allied Forces' favor, but many are uncertain that they stand a chance against Madara Uchiha. To help boost their spirits, Shikaku orders Inoichi to send out a message to every member of the forces."
331,15,11,"""Eyes That See in the Dark""Transcription: ""Yami o Miru Me"" (Japanese: 闇を見る眼)",Naoki Horiuchi,Katsuhiko Chiba,2013-09-19,2016-02-04,7,275,Suigetsu finds something interesting and alongside Jûgo they go look for Sasuke. Sasuke is able to test once again his new Mangekyo Sharingan against White Zetsus and learns about the war.
332,15,12,"""A Will of Stone""Transcription: ""Ishi no Ishi"" (Japanese: 石の意志)",Masaaki Kumagai,Yasuyuki Suzuki,2013-09-26,2016-02-11,8.2,307,Tsuchikage Ônoki remembers how he inherited the Will of Stone and gather strength to fight Madara. Sasuke encounters his late brother Itachi (revived through Edo Tensei) and pursue him looking for answers. Madara reveals something that enrages Tsunade.
333,15,13,"""The Risks of the Reanimation Jutsu""Transcription: ""Edo Tensei no Risuku"" (Japanese: 穢土転生のリスク)",Shigeru Ishii,Shin Yoshida,2013-10-03,2016-02-18,8.4,322,"Tsunade leaves her post as Medic Ninja to join the other Kage in fighting Madara. Meanwhile, Sasuke goes after Itachi and learns that his brother intends on stopping Kabuto's Reanimation Jutsu alone."
334,15,14,"""Sibling Tag Team""Transcription: ""Kyōdai, Taggu!!"" (Japanese: 兄弟、共闘（タッグ）!!)",Kazunori Mizuno,Katsuhiko Chiba,2013-10-10,2016-02-25,8.3,321,Sasuke and Itachi team up to stop Kabuto's Reanimation Jutsu. But Kabuto's new ability to use Nature Energy has made him a difficult target for the brothers to land their Susano'o attack.
335,15,15,"""To Each Their Own Leaf""Transcription: ""Tagai no Konoha"" (Japanese: 互いの木ノ葉)",Mitsutaka Noshitani,Yasuyuki Suzuki,2013-10-24,2016-03-04,7.8,292,Sasuke and Itachi fight Kabuto. Kabuto rememorates his early childhood.
336,15,16,"""Kabuto Yakushi""Transcription: ""Yakushi Kabuto"" (Japanese: 薬師カブト)",Shigeki Kawai,Masahiro Hikokubo,2013-10-31,2016-03-11,7.8,293,Yakushi Kabuto rememorates how he has become who he is now through the different events in his life.
337,15,17,"""The Izanami Activated""Transcription: ""Hatsudō: Izanami"" (Japanese: 発動・イザナミ)",Hiroaki Nishimura,Masahiro Hikokubo,2013-11-07,2016-03-18,8.2,328,Sasuke and Itachi continue their fight against Kabuto. Itachi uses the Izanami.
338,15,18,"""Izanagi and Izanami""Transcription: ""Izanagi to Izanami"" (Japanese: イザナギとイザナミ)",Kazunori Mizuno,Masahiro Hikokubo,2013-11-14,2016-03-25,8.3,332,Itachi explains to Sasuke how the Izanami works and how it is related to the Izanagi.
339,15,19,"""I Will Love You Always""Transcription: ""Omae o Zutto Aishiteiru"" (Japanese: お前をずっと愛している)",Atsushi Nigorikawa,Yuka Miyata,2013-11-21,2021-05-02,8.6,1252,"The five Kage continue their fight against Madara Uchiha as he uses his final Susanoo and attacks them with full power. Meanwhile, Itachi says his final words to Sasuke."
340,15,20,"""Reanimation Jutsu: Release!""Transcription: ""Edo Tensei: Kai"" (Japanese: 穢土転生・解)",Eiko Nishi,Katsuhiko Chiba,2013-11-28,2021-05-09,8.3,330,"Thanks to Itachi, the Reanimation Jutsu is released, and all the Reanimated Shinobi are returned to their resting places. But to everyone's surprise, the real Madara still remains."
341,15,21,"""Orochimaru's Return""Transcription: ""Fukkatsu!! Orochimaru"" (Japanese: 復活!! 大蛇丸)",Naoki Horiuchi,Yasuyuki Suzuki,2013-12-05,2021-05-16,8.1,305,"Suigetsu and Jugo finally catch up to Sasuke. In order to learn the truth behind the Leaf's actions, Sasuke decides to resurrect the one man who can help him find the answer-Orochimaru."
342,15,22,"""Secret of the Transportation Technique""Transcription: ""Jikūkan Ninjutsu no Himitsu"" (Japanese: 時空間忍術の秘密)",Masaaki Kumagai,Shin Yoshida,2013-12-12,2021-05-23,8.5,377,"Having absorbed the chakras of all nine Tailed Beasts, the Gedo Statue begins its transformation into Ten Tails."
343,15,23,"""Who Are You?""Transcription: ""Temē wa Dare da!!"" (Japanese: てめーは誰だ!!)",Kazuya Iwata,Masahiro Hikokubo,2013-12-19,2021-05-30,7.9,680,Kakashi is disturbed to discover a strange connection between the masked man's Transportation Technique and his own Kamui Jutsu.
344,15,24,"""Obito and Madara""Transcription: ""Obito to Madara"" (Japanese: オビトとマダラ)",Kazunori Mizuno,Yasuyuki Suzuki,2014-01-09,2021-06-06,7.8,597,Madara has rescued a dying Obito and tells him about his plans.
345,15,25,"""I'm in Hell""Transcription: ""Ore wa Jigoku ni Iru"" (Japanese: オレは地獄に居る)",Hiroyuki Yamashita,Katsuhiko Chiba,2014-01-16,2021-06-13,8.7,1283,"Two White Zetsu helps Obito in his rehabilitation, while they explain more about Madara's plan and bring some news regarding Rin and Kakashi."
346,15,26,"""World of Dreams""Transcription: ""Yume no Sekai"" (Japanese: 夢の世界)",Eiko Nishi,Shin Yoshida,2014-01-23,2021-06-20,8.3,320,"Obito watches in disbelief as Kakashi kills Rin. Unable to accept the harsh reality, Obito decides to carry out Madara's dream so that he can create an ideal world where Rin still exists."
347,15,27,"""Creeping Shadow""Transcription: ""Shinobiyoru Kage"" (Japanese: 忍び寄る影)",Sekito Kanno,Shin Yoshida,2014-01-23,2021-06-27,7.7,266,"Years ago, Yahiko, Nagato, and Konan form the Akatsuki to realize their dream of bringing peace to the Hidden Rain."
348,15,28,"""The New Akatsuki""Transcription: ""Shinsei: Akatsuki"" (Japanese: 新生・“暁”)",Atsushi Nigorikawa,Shin Yoshida,2014-01-30,2021-07-04,8.2,283,"Danzo deliberately misleads Hanzo, telling him that the Akatsuki are attempting to sabotage the peace talks between the Hidden Rain and Stone."
349,16,1,"""A Mask That Hides The Heart""Transcription: ""Kokoro o Kakusu Men"" (Japanese: 心を隠す面)",Naoki Horiuchi,Junki Takegami,2014-02-06,2021-07-11,7.8,248,"After the end of the Third Great Ninja War, the Leaf Village is divided over who should become the next Hokage. Minato Namikaze is soon appointed as the Fourth Hokage, much to the annoyance of Danzo and Orochimaru"
350,16,2,"""Minato's Death""Transcription: ""Minato no Shi"" (Japanese: ミナトの死)",Daisuke Kurose,Junki Takegami,2014-02-13,2021-07-18,8,270,"Kakashi becomes part of the ANBU Black Ops, an elite team of shinobi who are under the direct command of the Fourth Hokage, Minato Namikaze."
351,16,3,"""Hashirama's Cells""Transcription: ""Hashirama Saibō"" (Japanese: 柱間細胞)",Kazuya Iwata,Junki Takegami,2014-02-20,2021-07-25,7.3,219,"At the Foundation, Kakashi meets a boy who uses Wood Style, a jutsu that only First Hokage Hashirama was capable of using. Kakashi goes to Third Hokage Hiruzen's library to seek answers and discovers records regarding Hashirama's cells."
352,16,4,"""The Rogue Ninja Orochimaru""Transcription: ""Nukenin: Orochimaru"" (Japanese: 抜け忍・大蛇丸)",Yoshihiko Iwata,Yasuyuki Suzuki,2014-02-27,2021-08-01,7,219,"Orochimaru is forced to flee the Hidden Leaf after Third Hokage Hiruzen exposes his illegal experiments. Danzo, fearing that Orochimaru's capture would lead to the exposure of his own involvement in the experiments, sends out one of his men to help the rogue ninja."
353,16,5,"""Orochimaru's Test Subject""Transcription: ""Orochimaru no Jikkentai"" (Japanese: 大蛇丸の実験体)",Masaaki Kumagai,Yasuyuki Suzuki,2014-03-06,2021-08-15,6.9,209,"While pursuing Orochimaru, Kakashi wanders into a village inhabited by the Iburi Clan, a group of people with the unique ability to turn into smoke. Kakashi is soon captured and learns that the villagers all serve under Orochimaru."
354,16,6,"""Their Own Paths""Transcription: ""Sorezore no Michi"" (Japanese: それぞれの道)",Naoki Hishikawa,Yasuyuki Suzuki,2014-03-06,2021-08-22,7,209,"Yukimi leaves the village to see the outside world, taking ""Tenzo"" with her. Kakashi tries to convince the two to return so that he can set a trap to capture Orochimaru, who is after Yukimi's blood. But Yamato, who has grown attached to Yukimi, abandons his original mission to protect his friend."
355,16,7,"""The Targeted Sharingan""Transcription: ""Nerawareta Sharingan"" (Japanese: 狙われた写輪眼)",Naoki Horiuchi,Katsuhiko Chiba,2014-03-13,2021-08-29,7.2,219,"Danzo orders Tenzo to kill Kakashi and take his Sharingan. Reluctant at first, Tenzo decides to carry out his orders after learning that the Leaf Shinobi has come to be known as ""Kakashi the Friend Killer."""
356,16,8,"""A Shinobi of the Leaf""Transcription: ""Konoha no Shinobi"" (Japanese: 木ノ葉の忍)",Kazunori Mizuno,Katsuhiko Chiba,2014-03-20,2021-09-05,7.3,221,"After being saved by the target he was ordered to kill, Tenzo realizes that the man known as ""Kakashi the Friend Killer"" is someone who values the lives of his comrades more than anyone. No longer wishing to kill Kakashi, Tenzo abandons the mission and returns to the Leaf Village, fully aware that his actions will stir up Danzo's anger."
357,16,9,"""An Uchiha ANBU""Transcription: ""Anbu no Uchiha"" (Japanese: 暗部のうちは)",Takuma Suzuki,Katsuhiko Chiba,2014-04-03,2021-09-12,7.7,241,"Itachi Uchiha is inducted into Kakashi's unit as the youngest member of the ANBU Black Ops. Itachi's father, Fugaku, is pleased, thinking this will grant the Uchiha access to exclusive, top-secret Leaf intel. But Danzo, who wants intel on the Uchiha, orders Itachi to betray his family and clan by acting as a double agent."
358,16,10,"""Coup d'État""Transcription: ""Kūdetā"" (Japanese: クーデター)",Atsushi Nigorikawa,Katsuhiko Chiba,2014-04-10,2021-09-19,8.3,310,"Following the aftermath of the Nine-Tails incident, many on the Leaf Council voice suspicions that the Uchiha Clan were behind this tragedy. The Uchiha are then placed under 24-hour surveillance by the ANBU, which causes further tensions to arise."
359,16,11,"""The Night of the Tragedy""Transcription: ""Sangeki no Yoru"" (Japanese: 惨劇の夜)",Fukutarou Hattori,Katsuhiko Chiba,2014-04-17,2021-09-26,8.1,262,Kakashi visits the Uchiha District and notices that the community seems more antisocial than the last time he visited. Meanwhile Itachi finds concrete evidence regarding the Uchiha Clan's coup against the Leaf. The fateful moment is fast approaching...
360,16,12,"""Jōnin Leader""Transcription: ""Tantō Jōnin"" (Japanese: 担当上忍)",Daisuke Kurose,Masahiro Hikokubo,2014-04-24,2021-10-03,7.6,232,"Hiruzen relieves Kakashi of his ANBU duties and assigns him a new position as a Jonin Leader. Reflecting on his past mistakes, Kakashi decides to use the same test that Minato once used to measure one's teamwork."
361,16,13,"""Team 7""Transcription: ""Dainanahan"" (Japanese: 第七班)",Masayuki Yamada,Masahiro Hikokubo,2014-05-08,2021-11-07,8,267,"Hiruzen assigns Kakashi to be in charge of Naruto, Sasuke, and Sakura, three genin that bear a striking resemblance to the former Team Minato."
362,17,1,"""Kakashi's Resolve""Transcription: ""Kakashi no Ketsui"" (Japanese: カカシの決意)",Takuma Suzuki,Junki Takegami,2014-05-15,2021-11-14,7.6,509,"Kakashi desperately tries to reach out to Obito, but his words fall on deaf ears. Obito instead accuses Kakashi of being trash, which angers Naruto, forcing him to step in and defend his Sensei."
363,17,2,"""The Allied Shinobi Forces Jutsu""Transcription: ""Shinobi Rengōgun no Jutsu!"" (Japanese: 忍連合軍の術!)",Gorou Sessha,Hideto Tanaka,2014-05-22,2021-11-21,8,639,"The barrier is shattered, and Ten Tails appears! With unfathomable power in its attack, it sends shock waves through the air! Kurama takes the lead and tries to go on the offensive, but is helpless against Ten Tails' immense strength. Soon both Kurama and Gyuki exhaust their chakra and fade away."
364,17,3,"""The Ties That Bind""Transcription: ""Tsunagareru Mono"" (Japanese: 繋がれるもの)",Masaaki Kumagai,Shin Yoshida,2014-06-05,2021-11-28,8.5,1096,"The Allied Shinobi Forces begin their onslaught against Obito and Madara. But Ten Tails suddenly transforms and hurls powerful Tailed Beast Bombs toward distant towns. One after the other, the Tailed Beast Bombs find their targets. The shinobi wonder why Ten Tails is aiming so far away as one of the bombs heads toward HQ!."
365,17,4,"""Those Who Dance in the Shadows""Transcription: ""Shinobimau Mono-tachi"" (Japanese: 忍び舞う者たち)",Naoki Horiuchi,Katsuhiko Chiba,2014-06-12,2021-12-12,8,716,"Naruto is overcome with grief over Neji's death, but Hinata's words restore his fighting spirit. Shikaku outlines his final strategy before he dies, in which Nine Tails will send its chakra to increase everyone's strength. United in their cause, Naruto and the shinobi set out to take on Ten Tails, determined that Neji and their comrades will not have died in vain!"
366,17,5,"""The All-Knowing""Transcription: ""Subete o Shiru Mono-tachi"" (Japanese: 全てを知る者たち)",Kazunori Mizuno,Masahiro Hikokubo,2014-06-19,2022-01-09,8.2,878,"Sasuke returns to the Hidden Leaf Village seeking answers, and standing before him are First Hokage Hashirama, Second Hokage Tobirama, Third Hokage Hiruzen, and Fourth Hokage Minato, all reanimated. Sasuke asks Hiruzen for the truth about Itachi, and he questions Tobirama about the secret of the Uchiha Clan. Then Hashirama begins his story, which goes back to the feudal age, to a period before the village even existed."
367,17,6,"""Hashirama and Madara""Transcription: ""Hashirama to Madara"" (Japanese: 柱間とマダラ)",Kazuya Iwata,Shin Yoshida,2014-07-03,2022-01-09,7.7,503,"Villages did not exist when Hashirama was a child. It was during this strife-filled time that he met Madara Uchiha. The two youths talk about their hopes for the future, without revealing their true identities, and find they share the same vision...to create a ninja world where children do not have to die."
368,17,7,"""The Era of Warring States""Transcription: ""Sengoku Jidai"" (Japanese: 戦国時代)",Atsushi Nigorikawa,Shin Yoshida,2014-07-10,2022-01-09,7.8,585,"Madara and Hashirama eventually become the leaders of their respective clans. As the fighting rages on between the Senju and Uchiha, Hashirama approaches Madara about an alliance. But Madara refuses to listen and releases Susano'o instead!"
